nama_kecamatan;nama_desa
Babadan;Babadan
Babadan;Bareng
Babadan;Cekok
Babadan;Gupolo
Babadan;Japan
Babadan;Lembah
Babadan;Ngunut
Babadan;Pondok
Babadan;Polorejo
Babadan;Purwosari
Babadan;Sukosari
Babadan;Trisono
Babadan;Kadipaten
Babadan;Kertosari
Babadan;Patihan Wetan
Badegan;Badegan
Badegan;Biting
Badegan;Bandaralim
Badegan;Dayakan
Badegan;Kapuran
Badegan;Karangan
Badegan;Karangjoho
Badegan;Tanjunggunung
Badegan;Tanjungrejo
Badegan;Watubonang
Balong;Bajang
Balong;Balong
Balong;Bulak
Balong;Bulukidul
Balong;Dadapan
Balong;Jalen
Balong;Karangan
Balong;Karangmojo
Balong;Karangpatihan
Balong;Muneng
Balong;Ngampel
Balong;Ngendut
Balong;Ngraket
Balong;Ngumpul
Balong;Pandak
Balong;Purworejo
Balong;Sedarat
Balong;Singkil
Balong;Sumberejo
Balong;Tatung
Bungkal;Bancar
Bungkal;Bedikulon
Bungkal;Bediwetan
Bungkal;Belang
Bungkal;Bekare
Bungkal;Bungkal
Bungkal;Bungu
Bungkal;Kalisat
Bungkal;Ketonggo
Bungkal;Koripan
Bungkal;Kunti
Bungkal;Kupuk
Bungkal;Kwajon
Bungkal;Munggu
Bungkal;Nambak
Bungkal;Padas
Bungkal;Pager
Bungkal;Pelem
Bungkal;Sambilawang
Jambon;Blembem
Jambon;Bringinan
Jambon;Bulu Lor
Jambon;Jambon
Jambon;Jonggol
Jambon;Karanglo Kidul
Jambon;Krebet
Jambon;Menang
Jambon;Pulosari
Jambon;Poko
Jambon;Sendang
Jambon;Srandil
Jambon;Sidoharjo
Jenangan;Jenangan
Jenangan;Jimbe
Jenangan;Kemiri
Jenangan;Mrican
Jenangan;Nglayang
Jenangan;Ngrupit
Jenangan;Panjeng
Jenangan;Paringan
Jenangan;Pintu
Jenangan;Plalangan
Jenangan;Sedah
Jenangan;Semanding
Jenangan;Sraten
Jenangan;Tanjungsari
Jenangan;Wates
Jenangan;Setono
